Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.9015612161051768,0.8844334675839256
Baseline,A,2,0.9171733771569432,0.9068907103739866
Baseline,A,3,0.924075595727198,0.9167157412933326
Baseline,A,4,0.9281840591618734,0.922770832828369
Baseline,A,5,0.9267050123253904,0.9219656116289026
Baseline,A,6,0.905505341002465,0.9025237594162976
Baseline,A,7,0.9260476581758422,0.9223907307040242
Baseline,A,8,0.9214461791290056,0.9173128236347562
Baseline,A,9,0.9178307313064914,0.9134513997715384
Baseline,A,10,0.9253903040262942,0.9215621448105622
Baseline with FineTune,A,1,0.9390304026294166,0.9382667049161768
SmallBatch,A,1,0.9064913722267872,0.8912574191577909
SmallBatch,A,2,0.914215283483977,0.9018802394039356
SmallBatch,A,3,0.9285127362366477,0.9229415887935956
SmallBatch,A,4,0.9306491372226788,0.9265217969131676
SmallBatch,A,5,0.9288414133114216,0.9256190298140284
SmallBatch,A,6,0.9176663927691044,0.9123374952679733
SmallBatch,A,7,0.93278553820871,0.930205320526844
SmallBatch,A,8,0.9275267050123254,0.9245940239315972
SmallBatch,A,9,0.9058340180772392,0.9027838678747574
SmallBatch,A,10,0.9181594083812654,0.9149589736099036
SmallBatch with FineTune,A,1,0.9413311421528348,0.93926288652331
MixedPrecision,A,1,0.8847986852917009,0.8692500043713797
MixedPrecision,A,2,0.923746918652424,0.9148365836670536
MixedPrecision,A,3,0.9216105176663928,0.9138929470076133
MixedPrecision,A,4,0.9221035332785538,0.9167586776158566
MixedPrecision,A,5,0.9117502054231718,0.906687049600948
MixedPrecision,A,6,0.9296631059983568,0.9262353895239196
MixedPrecision,A,7,0.924732949876746,0.920582599433274
MixedPrecision,A,8,0.9276910435497124,0.92348961564509
MixedPrecision,A,9,0.9311421528348398,0.9275300721557332
MixedPrecision,A,10,0.9258833196384552,0.9232896348103586
MixedPrecision with FineTune,A,1,0.9370583401807724,0.9344236535759376
ReduceComplexity,A,1,0.9127362366474938,0.8998380706377016
ReduceComplexity,A,2,0.9301561216105176,0.92596300679477
ReduceComplexity,A,3,0.8915365653245686,0.8859318709672602
ReduceComplexity,A,4,0.9301561216105176,0.9268112609660548
ReduceComplexity,A,5,0.933771569433032,0.9314967410595874
ReduceComplexity,A,6,0.9311421528348398,0.928541592358816
ReduceComplexity,A,7,0.9316351684470008,0.92967029154199
ReduceComplexity,A,8,0.932621199671323,0.92926760511938
ReduceComplexity,A,9,0.9298274445357436,0.9263495263975868
ReduceComplexity,A,10,0.9304847986852915,0.9282133318608208
ReduceComplexity with FineTune,A,1,0.9372226787181596,0.9360021993150864
