Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.8969597370583402,0.8800310409944921
Baseline,B,2,0.9155299917830731,0.9069686590100828
Baseline,B,3,0.9317995069843878,0.9277064668988182
Baseline,B,4,0.9262119967132292,0.9219507387768698
Baseline,B,5,0.9285127362366477,0.92540871791741
Baseline,B,6,0.9265406737880032,0.9231037459238178
Baseline,B,7,0.9298274445357436,0.9267606951243496
Baseline,B,8,0.9319638455217748,0.9295185428290388
Baseline,B,9,0.9257189811010682,0.924102871925206
Baseline,B,10,0.9368940016433852,0.935236526722142
Baseline with FineTune,B,1,0.9410024650780608,0.9396315995421808
SmallBatch,B,1,0.905341002465078,0.8883475513568782
SmallBatch,B,2,0.9273623664749384,0.9200094337438822
SmallBatch,B,3,0.9183237469186524,0.9104513433039518
SmallBatch,B,4,0.9202958093672966,0.9140444114223992
SmallBatch,B,5,0.9352506162695152,0.9329395316210224
SmallBatch,B,6,0.9293344289235824,0.9257385748712632
SmallBatch,B,7,0.9253903040262942,0.9225677673513228
SmallBatch,B,8,0.9245686113393592,0.920834574836223
SmallBatch,B,9,0.9290057518488084,0.9249951824309888
SmallBatch,B,10,0.9173377156943304,0.913528532263346
SmallBatch with FineTune,B,1,0.9400164338537388,0.9381035055940512
MixedPrecision,B,1,0.9002465078060805,0.885088375725551
MixedPrecision,B,2,0.9183237469186524,0.9106075953347248
MixedPrecision,B,3,0.923089564502876,0.916072284535958
MixedPrecision,B,4,0.922432210353328,0.9156034600298903
MixedPrecision,B,5,0.9262119967132292,0.9202337246010304
MixedPrecision,B,6,0.9294987674609696,0.9263503387886912
MixedPrecision,B,7,0.9248972884141332,0.9204725698767762
MixedPrecision,B,8,0.9296631059983568,0.9276418191442444
MixedPrecision,B,9,0.905998356614626,0.9018075135423594
MixedPrecision,B,10,0.9280197206244865,0.9248986137426416
MixedPrecision with FineTune,B,1,0.9365653245686112,0.9337637175999484
ReduceComplexity,B,1,0.923089564502876,0.9160434999988832
ReduceComplexity,B,2,0.9271980279375514,0.922402829612211
ReduceComplexity,B,3,0.934100246507806,0.9319679522133792
ReduceComplexity,B,4,0.9276910435497124,0.925292689241334
ReduceComplexity,B,5,0.9199671322925226,0.9166406248819734
ReduceComplexity,B,6,0.923089564502876,0.9201765476674056
ReduceComplexity,B,7,0.924732949876746,0.9230936177239024
ReduceComplexity,B,8,0.9248972884141332,0.9216645919772396
ReduceComplexity,B,9,0.9232539030402628,0.9207144362896804
ReduceComplexity,B,10,0.9275267050123254,0.9263340900647268
ReduceComplexity with FineTune,B,1,0.9245686113393592,0.9245619345946268
ReduceComplexity with FineTune,B,2,0.942810188989318,0.9420383547324322
