Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.8958093672966311,0.8782057620641349
Baseline,A,2,0.9079704190632704,0.8964547030307439
Baseline,A,3,0.9186524239934264,0.9112301544999106
Baseline,A,4,0.913722267871816,0.9086698781685878
Baseline,A,5,0.9132292522596548,0.9089811310154748
Baseline,A,6,0.9232539030402628,0.920333900691948
Baseline,A,7,0.924732949876746,0.9210940352136192
Baseline,A,8,0.9293344289235824,0.9258508005498866
Baseline,A,9,0.9271980279375514,0.9247906812504368
Baseline,A,10,0.9301561216105176,0.9277652224800468
Baseline with FineTune,A,1,0.905669679539852,0.8975796270527181
Baseline with FineTune,A,2,0.9319638455217748,0.9258128722666348
SmallBatch,A,1,0.9076417419884965,0.8931972814054183
SmallBatch,A,2,0.9176663927691044,0.909842085226286
SmallBatch,A,3,0.923582580115037,0.9178212699350388
SmallBatch,A,4,0.9290057518488084,0.9251876235597528
SmallBatch,A,5,0.9222678718159408,0.9170067931652904
SmallBatch,A,6,0.903697617091208,0.8993354293734014
SmallBatch,A,7,0.9291700903861956,0.9262810654460268
SmallBatch,A,8,0.9252259654889072,0.921401973502258
SmallBatch,A,9,0.9211175020542316,0.9176925385512732
SmallBatch,A,10,0.9107641741988496,0.9052483213816256
SmallBatch with FineTune,A,1,0.9387017255546426,0.9332482075400153
MixedPrecision,A,1,0.8969597370583402,0.8798542369110907
MixedPrecision,A,2,0.9207888249794576,0.9136077145180604
MixedPrecision,A,3,0.9186524239934264,0.9134203298642024
MixedPrecision,A,4,0.923911257189811,0.9197079082922606
MixedPrecision,A,5,0.9255546425636813,0.9216748294389534
MixedPrecision,A,6,0.9252259654889072,0.9215219482988908
MixedPrecision,A,7,0.9206244864420706,0.9169735918126126
MixedPrecision,A,8,0.9298274445357436,0.9261575196683698
MixedPrecision,A,9,0.9245686113393592,0.9200570334327404
MixedPrecision,A,10,0.9221035332785538,0.9181842592819424
MixedPrecision with FineTune,A,1,0.9350862777321282,0.9307472534541092
ReduceComplexity,A,1,0.9202958093672966,0.912323008792899
ReduceComplexity,A,2,0.9096138044371403,0.9040248133339732
ReduceComplexity,A,3,0.9120788824979458,0.9079300341828432
ReduceComplexity,A,4,0.9280197206244865,0.9241780189452052
ReduceComplexity,A,5,0.9298274445357436,0.9265812428527842
ReduceComplexity,A,6,0.9258833196384552,0.921910233552724
ReduceComplexity,A,7,0.8913722267871816,0.8847066143986257
ReduceComplexity,A,8,0.9319638455217748,0.9287161301320078
ReduceComplexity,A,9,0.9255546425636813,0.9222178284598304
ReduceComplexity,A,10,0.9314708299096138,0.9287074764976256
ReduceComplexity with FineTune,A,1,0.9362366474938372,0.9331052551679904
