Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9032046014790468,0.8865550927867591
Baseline,B,2,0.9196384552177486,0.9084879458545496
Baseline,B,3,0.9245686113393592,0.917361075002852
Baseline,B,4,0.9290057518488084,0.9238114418159286
Baseline,B,5,0.9216105176663928,0.917531065138273
Baseline,B,6,0.9196384552177486,0.9146453965170612
Baseline,B,7,0.9273623664749384,0.9253219337210584
Baseline,B,8,0.9322925225965488,0.9292774751593668
Baseline,B,9,0.9225965488907149,0.9210713989278728
Baseline,B,10,0.9268693508627772,0.9236374999089076
Baseline with FineTune,B,1,0.933114215283484,0.92706182051285
SmallBatch,B,1,0.9002465078060805,0.884784277971782
SmallBatch,B,2,0.9252259654889072,0.9183400918942692
SmallBatch,B,3,0.9176663927691044,0.9117777218213652
SmallBatch,B,4,0.9316351684470008,0.9292738177984956
SmallBatch,B,5,0.9345932621199672,0.9319747244159188
SmallBatch,B,6,0.9294987674609696,0.9260539521587282
SmallBatch,B,7,0.933442892358258,0.9301707454768144
SmallBatch,B,8,0.9309778142974529,0.9275419821194806
SmallBatch,B,9,0.9322925225965488,0.9296607531172418
SmallBatch,B,10,0.9270336894001644,0.9243182584867928
SmallBatch with FineTune,B,1,0.9317995069843878,0.9262351760311928
SmallBatch with FineTune,B,2,0.933442892358258,0.9304144811564558
SmallBatch with FineTune,B,3,0.9317995069843878,0.9281620246871756
SmallBatch with FineTune,B,4,0.9367296631059984,0.9344169029697926
MixedPrecision,B,1,0.9020542317173376,0.884720440682763
MixedPrecision,B,2,0.8986031224322103,0.8873627747140658
MixedPrecision,B,3,0.9186524239934264,0.9122951149782962
MixedPrecision,B,4,0.922432210353328,0.9180844576271944
MixedPrecision,B,5,0.9010682004930156,0.8944344472052417
MixedPrecision,B,6,0.9260476581758422,0.9228695748150498
MixedPrecision,B,7,0.9253903040262942,0.9236792825660496
MixedPrecision,B,8,0.9258833196384552,0.9236615648741932
MixedPrecision,B,9,0.934264585045193,0.9331495062056095
MixedPrecision,B,10,0.9294987674609696,0.9274217876713416
MixedPrecision with FineTune,B,1,0.934757600657354,0.9295152789504594
MixedPrecision with FineTune,B,2,0.9380443714050944,0.9341443833158156
ReduceComplexity,B,1,0.9129005751848808,0.9030428119385424
ReduceComplexity,B,2,0.9222678718159408,0.9193799183827004
ReduceComplexity,B,3,0.9278553820870994,0.9249615119305866
ReduceComplexity,B,4,0.9309778142974529,0.9278830267268102
ReduceComplexity,B,5,0.933442892358258,0.9315146985737796
ReduceComplexity,B,6,0.933771569433032,0.9311628214869988
ReduceComplexity,B,7,0.9311421528348398,0.9291909297816164
ReduceComplexity,B,8,0.9278553820870994,0.9255743564507082
ReduceComplexity,B,9,0.9209531635168448,0.9177421440494616
ReduceComplexity,B,10,0.9281840591618734,0.9245429655253732
ReduceComplexity with FineTune,B,1,0.9308134757600658,0.92857976641705
ReduceComplexity with FineTune,B,2,0.9375513557929336,0.9357016854183656
