Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.9211175020542316,0.9164572668272328
Baseline,A,2,0.9283483976992604,0.926228015221268
Baseline,A,3,0.9276910435497124,0.9248316462315144
Baseline,A,4,0.9322925225965488,0.9293599171599186
Baseline,A,5,0.932456861133936,0.9292923957007928
Baseline,A,6,0.9311421528348398,0.9274642080957716
Baseline,A,7,0.932456861133936,0.9291271553589588
Baseline,A,8,0.9322925225965488,0.9289345430776343
Baseline,A,9,0.933278553820871,0.930034801893843
Baseline,A,10,0.93278553820871,0.9296382832041744
Baseline with FineTune,A,1,0.932621199671323,0.9313817093084912
Baseline with FineTune,A,2,0.9413311421528348,0.9403959805693092
SmallBatch,A,1,0.9278553820870994,0.9253886104745188
SmallBatch,A,2,0.923746918652424,0.921660506939552
SmallBatch,A,3,0.9262119967132292,0.9233242504085056
SmallBatch,A,4,0.9299917830731308,0.9277724616422688
SmallBatch,A,5,0.923911257189811,0.920234749185694
SmallBatch,A,6,0.9255546425636813,0.9219533025588884
SmallBatch,A,7,0.9291700903861956,0.926361177160217
SmallBatch,A,8,0.9293344289235824,0.9263763058686304
SmallBatch,A,9,0.9308134757600658,0.9278276950593696
SmallBatch,A,10,0.9294987674609696,0.926564974042818
SmallBatch with FineTune,A,1,0.933607230895645,0.9309784328343588
MixedPrecision,A,1,0.9257189811010682,0.9221745599149708
MixedPrecision,A,2,0.903368940016434,0.9021400099849776
MixedPrecision,A,3,0.9308134757600658,0.9286793548984206
MixedPrecision,A,4,0.9281840591618734,0.9250256160649426
MixedPrecision,A,5,0.9290057518488084,0.9255895612852856
MixedPrecision,A,6,0.9291700903861956,0.9255324450679204
MixedPrecision,A,7,0.9303204601479048,0.9266030442689104
MixedPrecision,A,8,0.9316351684470008,0.9282954502950868
MixedPrecision,A,9,0.9291700903861956,0.9255907108111352
MixedPrecision,A,10,0.9298274445357436,0.9263597969825076
MixedPrecision with FineTune,A,1,0.9278553820870994,0.9261299276292176
MixedPrecision with FineTune,A,2,0.9314708299096138,0.9289092333071516
MixedPrecision with FineTune,A,3,0.933771569433032,0.9319101804816816
ReduceComplexity,A,1,0.9023829087921118,0.8976540904148685
ReduceComplexity,A,2,0.8824979457682827,0.8707063907048284
ReduceComplexity,A,3,0.9280197206244865,0.9253988400615464
ReduceComplexity,A,4,0.9242399342645852,0.9213854411626212
ReduceComplexity,A,5,0.9293344289235824,0.9262727467678044
ReduceComplexity,A,6,0.9296631059983568,0.9265996194372644
ReduceComplexity,A,7,0.9298274445357436,0.9267633939415476
ReduceComplexity,A,8,0.9293344289235824,0.9260311782772748
ReduceComplexity,A,9,0.9314708299096138,0.9282225474475534
ReduceComplexity,A,10,0.9308134757600658,0.9276792693507764
ReduceComplexity with FineTune,A,1,0.9403451109285128,0.939256844440145
