Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9314708299096138,0.9276685406502256
Baseline,B,2,0.9276910435497124,0.9277330882097082
Baseline,B,3,0.914708299096138,0.9143403663532084
Baseline,B,4,0.932128184059162,0.929690949394642
Baseline,B,5,0.932456861133936,0.9302776053898504
Baseline,B,6,0.932456861133936,0.9300728309158272
Baseline,B,7,0.932128184059162,0.9298006912107524
Baseline,B,8,0.933771569433032,0.9314365158373716
Baseline,B,9,0.9317995069843878,0.9295234026251888
Baseline,B,10,0.9317995069843878,0.929577471242339
Baseline with FineTune,B,1,0.9202958093672966,0.9176543833748048
Baseline with FineTune,B,2,0.9365653245686112,0.9371167024446128
SmallBatch,B,1,0.9232539030402628,0.9204026293434582
SmallBatch,B,2,0.9104354971240756,0.9074504794395756
SmallBatch,B,3,0.9199671322925226,0.9163381411337748
SmallBatch,B,4,0.9206244864420706,0.9169878259855004
SmallBatch,B,5,0.9262119967132292,0.9228994364816332
SmallBatch,B,6,0.9270336894001644,0.9242887572749208
SmallBatch,B,7,0.9286770747740344,0.9259738540258884
SmallBatch,B,8,0.9267050123253904,0.9239684285455904
SmallBatch,B,9,0.9280197206244865,0.9251874464781678
SmallBatch,B,10,0.9253903040262942,0.9228593118445554
SmallBatch with FineTune,B,1,0.9360723089564504,0.9352609748373728
MixedPrecision,B,1,0.9127362366474938,0.9127560532109168
MixedPrecision,B,2,0.9276910435497124,0.9240866776082752
MixedPrecision,B,3,0.9314708299096138,0.929798812029707
MixedPrecision,B,4,0.915365653245686,0.914345936299626
MixedPrecision,B,5,0.933771569433032,0.931254553251628
MixedPrecision,B,6,0.9313064913722268,0.9295946565943728
MixedPrecision,B,7,0.9306491372226788,0.9289791585116086
MixedPrecision,B,8,0.9293344289235824,0.9267735765788668
MixedPrecision,B,9,0.9319638455217748,0.929878159980675
MixedPrecision,B,10,0.9311421528348398,0.9285957588316984
MixedPrecision with FineTune,B,1,0.9359079704190632,0.935863450107445
ReduceComplexity,B,1,0.8884141331142152,0.8806771372501329
ReduceComplexity,B,2,0.92341824157765,0.9201603169280048
ReduceComplexity,B,3,0.932128184059162,0.929931572341087
ReduceComplexity,B,4,0.8997534921939194,0.8984903377538391
ReduceComplexity,B,5,0.923089564502876,0.920586503524688
ReduceComplexity,B,6,0.9304847986852915,0.928305821457624
ReduceComplexity,B,7,0.9290057518488084,0.9265045734707736
ReduceComplexity,B,8,0.9303204601479048,0.9277800621077572
ReduceComplexity,B,9,0.9299917830731308,0.9274267586546628
ReduceComplexity,B,10,0.9322925225965488,0.9298244070637112
ReduceComplexity with FineTune,B,1,0.932128184059162,0.9303792566647288
ReduceComplexity with FineTune,B,2,0.9406737880032868,0.9381357591305504
