Method,Client,Epoch,Accuracy,F1 Score
Baseline,A,1,0.9196384552177486,0.9154354880003076
Baseline,A,2,0.9252259654889072,0.9208365345032185
Baseline,A,3,0.9217748562037796,0.9191072330238236
Baseline,A,4,0.9313064913722268,0.927991523321232
Baseline,A,5,0.9296631059983568,0.9266210917091102
Baseline,A,6,0.9286770747740344,0.9255409412261072
Baseline,A,7,0.9293344289235824,0.9261420274850186
Baseline,A,8,0.9294987674609696,0.9264340166834144
Baseline,A,9,0.9280197206244865,0.9246142491444748
Baseline,A,10,0.9285127362366477,0.9253532911040928
Baseline with FineTune,A,1,0.9350862777321282,0.9314835085364408
SmallBatch,A,1,0.9283483976992604,0.9261152773145228
SmallBatch,A,2,0.924732949876746,0.921045783093271
SmallBatch,A,3,0.9170090386195564,0.914638853083656
SmallBatch,A,4,0.9270336894001644,0.9238077978462024
SmallBatch,A,5,0.9322925225965488,0.92946638112114
SmallBatch,A,6,0.9316351684470008,0.9287064694468128
SmallBatch,A,7,0.932128184059162,0.9292702080586844
SmallBatch,A,8,0.9299917830731308,0.9268910249895967
SmallBatch,A,9,0.9285127362366477,0.9252822378097056
SmallBatch,A,10,0.9291700903861956,0.925665677748746
SmallBatch with FineTune,A,1,0.9196384552177486,0.9167989845426
SmallBatch with FineTune,A,2,0.9345932621199672,0.9304926756772988
MixedPrecision,A,1,0.8831552999178307,0.8767310776389132
MixedPrecision,A,2,0.9178307313064914,0.9143260026686156
MixedPrecision,A,3,0.8994248151191454,0.8939127259632216
MixedPrecision,A,4,0.9258833196384552,0.9222420707522084
MixedPrecision,A,5,0.9124075595727198,0.9102593947660684
MixedPrecision,A,6,0.9209531635168448,0.9188508960605314
MixedPrecision,A,7,0.9286770747740344,0.9259960416972024
MixedPrecision,A,8,0.9178307313064914,0.9147915402889966
MixedPrecision,A,9,0.923089564502876,0.919654911362896
MixedPrecision,A,10,0.9285127362366477,0.9254801601414508
MixedPrecision with FineTune,A,1,0.8992604765817585,0.8950156684658567
MixedPrecision with FineTune,A,2,0.933771569433032,0.9306125936664892
ReduceComplexity,A,1,0.9206244864420706,0.9163311497099592
ReduceComplexity,A,2,0.9270336894001644,0.9231912750335358
ReduceComplexity,A,3,0.9265406737880032,0.9244103640589996
ReduceComplexity,A,4,0.9313064913722268,0.9280762355061236
ReduceComplexity,A,5,0.93278553820871,0.9294430559757052
ReduceComplexity,A,6,0.9311421528348398,0.9278311026526028
ReduceComplexity,A,7,0.9293344289235824,0.9258314187764244
ReduceComplexity,A,8,0.924732949876746,0.9209511209899832
ReduceComplexity,A,9,0.9278553820870994,0.9243666656072228
ReduceComplexity,A,10,0.9280197206244865,0.924480461707484
ReduceComplexity with FineTune,A,1,0.9393590797041906,0.935346447449323
