Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9163516844700084,0.9143817456026954
Baseline,B,2,0.9061626951520132,0.9018090832097104
Baseline,B,3,0.9216105176663928,0.9205960074593832
Baseline,B,4,0.9296631059983568,0.9271176673835364
Baseline,B,5,0.933114215283484,0.9307619542677034
Baseline,B,6,0.934757600657354,0.9328668215839144
Baseline,B,7,0.9352506162695152,0.9330055238584688
Baseline,B,8,0.93442892358258,0.9322807412840788
Baseline,B,9,0.934264585045193,0.9314148944167616
Baseline,B,10,0.934757600657354,0.9323187143985904
Baseline with FineTune,B,1,0.9275267050123254,0.9246690550216168
Baseline with FineTune,B,2,0.924732949876746,0.924105098756286
Baseline with FineTune,B,3,0.923089564502876,0.9236481311899446
Baseline with FineTune,B,4,0.9387017255546426,0.9368406283232488
SmallBatch,B,1,0.9097781429745276,0.9058337119841114
SmallBatch,B,2,0.9114215283483976,0.909995494097052
SmallBatch,B,3,0.9165160230073952,0.9163990506799452
SmallBatch,B,4,0.9304847986852915,0.9279963090384216
SmallBatch,B,5,0.9211175020542316,0.9174031345779528
SmallBatch,B,6,0.9012325390304028,0.9003402097355749
SmallBatch,B,7,0.9066557107641742,0.9067036666068344
SmallBatch,B,8,0.9211175020542316,0.9212778368295756
SmallBatch,B,9,0.914215283483977,0.9118871974216064
SmallBatch,B,10,0.9130649137222678,0.9100158838752656
SmallBatch with FineTune,B,1,0.932949876746097,0.9336183822268956
MixedPrecision,B,1,0.934100246507806,0.9316926930365445
MixedPrecision,B,2,0.9309778142974529,0.9286379712275524
MixedPrecision,B,3,0.914543960558751,0.9136639860064732
MixedPrecision,B,4,0.9293344289235824,0.9282373416649138
MixedPrecision,B,5,0.924075595727198,0.9212729667092276
MixedPrecision,B,6,0.9275267050123254,0.9249812335045527
MixedPrecision,B,7,0.9288414133114216,0.926713495655996
MixedPrecision,B,8,0.9314708299096138,0.929751673420296
MixedPrecision,B,9,0.9309778142974529,0.9290713745332564
MixedPrecision,B,10,0.9306491372226788,0.9290113811872204
MixedPrecision with FineTune,B,1,0.9350862777321282,0.9330621244481364
ReduceComplexity,B,1,0.9207888249794576,0.9189351130662758
ReduceComplexity,B,2,0.9281840591618734,0.9281931834213238
ReduceComplexity,B,3,0.9278553820870994,0.9252138437069624
ReduceComplexity,B,4,0.9283483976992604,0.926711943395538
ReduceComplexity,B,5,0.9303204601479048,0.9286231398746952
ReduceComplexity,B,6,0.9308134757600658,0.9291001421814956
ReduceComplexity,B,7,0.9322925225965488,0.9308191611291255
ReduceComplexity,B,8,0.9303204601479048,0.9284483339055764
ReduceComplexity,B,9,0.9309778142974529,0.9290911843843984
ReduceComplexity,B,10,0.9309778142974529,0.9290600492765756
ReduceComplexity with FineTune,B,1,0.9388660640920296,0.937328396145147
