Framework,Method,Run,Epoch,Accuracy
scCDCG,Baseline,scratch,1,0.3411764705882353
scCDCG,Baseline,scratch,2,0.5411764705882353
scCDCG,Baseline,scratch,3,0.6705882352941176
scCDCG,Baseline,scratch,4,0.7529411764705882
scCDCG,Baseline,scratch,5,0.788235294117647
scCDCG,Baseline,scratch,6,0.8470588235294118
scCDCG,Baseline,scratch,7,0.8294117647058824
scCDCG,Baseline,scratch,8,0.9058823529411765
scCDCG,Baseline,scratch,9,0.8294117647058824
scCDCG,Baseline,scratch,10,0.8705882352941177
scCDCG,Baseline,fine_tune,1,0.788235294117647
scCDCG,Baseline,fine_tune,2,0.8529411764705882
scCDCG,Baseline,fine_tune,3,0.9176470588235294
scCDCG,SmallBatch,scratch,1,0.49411764705882355
scCDCG,SmallBatch,scratch,2,0.5941176470588235
scCDCG,SmallBatch,scratch,3,0.7647058823529411
scCDCG,SmallBatch,scratch,4,0.8058823529411765
scCDCG,SmallBatch,scratch,5,0.788235294117647
scCDCG,SmallBatch,scratch,6,0.9058823529411765
scCDCG,SmallBatch,scratch,7,0.9176470588235294
scCDCG,SmallBatch,scratch,8,0.9352941176470588
scCDCG,SmallBatch,scratch,9,0.9588235294117647
scCDCG,SmallBatch,scratch,10,0.9294117647058824
scCDCG,SmallBatch,fine_tune,1,0.8176470588235294
scCDCG,SmallBatch,fine_tune,2,0.8117647058823529
scCDCG,SmallBatch,fine_tune,3,0.8529411764705882
scCDCG,SmallBatch,fine_tune,4,0.8823529411764706
scCDCG,SmallBatch,fine_tune,5,0.9529411764705882
scCDCG,SmallBatch,fine_tune,6,0.9470588235294117
scCDCG,SmallBatch,fine_tune,7,0.9470588235294117
scCDCG,SmallBatch,fine_tune,8,0.9470588235294117
scCDCG,SmallBatch,fine_tune,9,0.8647058823529412
scCDCG,SmallBatch,fine_tune,10,0.888235294117647
scCDCG,MixedPrecision,scratch,1,0.4588235294117647
scCDCG,MixedPrecision,scratch,2,0.5705882352941176
scCDCG,MixedPrecision,scratch,3,0.6705882352941176
scCDCG,MixedPrecision,scratch,4,0.6529411764705882
scCDCG,MixedPrecision,scratch,5,0.7588235294117647
scCDCG,MixedPrecision,scratch,6,0.8176470588235294
scCDCG,MixedPrecision,scratch,7,0.8117647058823529
scCDCG,MixedPrecision,scratch,8,0.9176470588235294
scCDCG,MixedPrecision,scratch,9,0.9764705882352941
scCDCG,MixedPrecision,scratch,10,0.9176470588235294
scCDCG,MixedPrecision,fine_tune,1,0.7941176470588235
scCDCG,MixedPrecision,fine_tune,2,0.8058823529411765
scCDCG,MixedPrecision,fine_tune,3,0.8235294117647058
scCDCG,MixedPrecision,fine_tune,4,0.888235294117647
scCDCG,MixedPrecision,fine_tune,5,0.9176470588235294
scCDCG,MixedPrecision,fine_tune,6,0.9647058823529412
scCDCG,MixedPrecision,fine_tune,7,0.9588235294117647
scCDCG,MixedPrecision,fine_tune,8,0.9588235294117647
scCDCG,MixedPrecision,fine_tune,9,0.9294117647058824
scCDCG,MixedPrecision,fine_tune,10,0.9470588235294117
scCDCG,ReduceComplexity,scratch,1,0.35294117647058826
scCDCG,ReduceComplexity,scratch,2,0.4411764705882353
scCDCG,ReduceComplexity,scratch,3,0.5117647058823529
scCDCG,ReduceComplexity,scratch,4,0.7176470588235294
scCDCG,ReduceComplexity,scratch,5,0.7235294117647059
scCDCG,ReduceComplexity,scratch,6,0.8176470588235294
scCDCG,ReduceComplexity,scratch,7,0.8176470588235294
scCDCG,ReduceComplexity,scratch,8,0.8470588235294118
scCDCG,ReduceComplexity,scratch,9,0.8176470588235294
scCDCG,ReduceComplexity,scratch,10,0.8941176470588236
scCDCG,ReduceComplexity,fine_tune,1,0.7647058823529411
scCDCG,ReduceComplexity,fine_tune,2,0.8529411764705882
scCDCG,ReduceComplexity,fine_tune,3,0.8470588235294118
scCDCG,ReduceComplexity,fine_tune,4,0.9117647058823529
scDLC,Baseline,scratch,1,0.4
scDLC,Baseline,scratch,2,0.4294117647058823
scDLC,Baseline,scratch,3,0.4764705882352941
scDLC,Baseline,scratch,4,0.5941176470588235
scDLC,Baseline,scratch,5,0.7235294117647059
scDLC,Baseline,scratch,6,0.7588235294117647
scDLC,Baseline,scratch,7,0.7705882352941177
scDLC,Baseline,scratch,8,0.7294117647058823
scDLC,Baseline,scratch,9,0.7411764705882353
scDLC,Baseline,scratch,10,0.7941176470588235
scDLC,Baseline,fine_tune,1,0.8117647058823529
scDLC,Baseline,fine_tune,2,0.8176470588235294
scDLC,SmallBatch,scratch,1,0.43529411764705883
scDLC,SmallBatch,scratch,2,0.4764705882352941
