Method,Accuracy,F1,Emissions,Framework
Baseline,0.38235294117647056,0.24653317666243013,2.304509807780282e-05,ACTINN
SmallBatch,0.36470588235294116,0.22242841581076878,5.867053062030407e-06,ACTINN
MixedPrecision,0.45294117647058824,0.3546247005589566,7.790671211573796e-06,ACTINN
ReduceComplexity,0.3588235294117647,0.2121860231271996,5.842143102793767e-06,ACTINN
Baseline,0.8764705882352941,0.8735007309526723,7.985916522290862e-06,scCDCG
SmallBatch,0.9411764705882353,0.9409849778425574,5.567566972615278e-06,scCDCG
MixedPrecision,0.8235294117647058,0.8122149688660587,7.956732380240267e-06,scCDCG
ReduceComplexity,0.9176470588235294,0.9169195696606248,5.617049224981228e-06,scCDCG
Baseline,0.9647058823529412,0.9647919504643963,5.613684990470766e-06,scDLC
SmallBatch,0.8411764705882353,0.8354878910811975,5.887709995767462e-06,scDLC
MixedPrecision,0.7647058823529411,0.7398716448604759,7.246626606690192e-06,scDLC
ReduceComplexity,0.6941176470588235,0.6359255476471652,5.771824446638055e-06,scDLC
Baseline,0.7823529411764706,0.7676153640684019,6.504033453349527e-06,scSMD
SmallBatch,0.6647058823529411,0.5912598692971985,6.310674495921351e-06,scSMD
MixedPrecision,0.8058823529411765,0.7948133647398353,7.26098542868047e-06,scSMD
ReduceComplexity,0.8,0.7820968816864848,6.97704163474714e-06,scSMD
